I tried to book an apartment for my trip to Hong Kong but once I had chosen one when I completed registration all the prices of the properties rose a 30%. So the prices you see if you are not registered are a bait. Don't trust them.,1,Informational Failure -- Airbnb,,,,TRUE,,,
"""When you browse Airbnb, it will show you the first page of recommendations from Airbnb. Normally that means the best hosts with a lot of guest experience and lots of positive response from previous guests, n it complaining and thinking that the sta was worth it's price. But not at Airbnb, there you are they number one star if your apartment is empty and expensive. It means you would book, pay a lot and they commission is high. Airbnb is the best, it's cool, it's working, they is tons of good and wonderfull hosts and they support is heartwarm and sincere. But this new feature is not working. Let's hope they change it. """,2,Informational Failure -- Airbnb,,,,TRUE,,,
"I recently made an Airbnb reservation. However, I then needed to change the dates. I went through there procedures, but there was a glitch. I contacted Airbnb by phone and the agent completely had no idea what to do and didn't understand why I needed the issue to be taken care of asap. He said he didn't think it would be a problem. Well, sure enough, his lack of initiative made my fears a reality and the Exact problem I was concerned about became a reality. The place I wanted was now already booked.",3,System Failure -- Airbnb,,,,TRUE,,,
"""It looks fantastic, it sounds fantastic, it is not fantastic. As a property owner, it seems like AirBnB is trying to make me work as hard as I can to have a property listed on top. It makes me feel like an employee of the company. they're calling you all the time to tell you to update your calendar everyday, to answer all guests (even when the website is full of bugs that sometimes stop you from answering messages). Fair enough, more dedicated host will mean a better website for guests. But remember that you all have to pay for the website (unless they make think the contrary). and at the end of the year, it's really a LOT of money. much more than on websites working on annual fees. It starts to get ridiculous when : You're asked to promote AirBnB on your personal blog to improve your ranking... And people actually do it !!! that's absolutely mad. Of course, AirBnB is not paying you for this, it only increases your ranking for a certain amount of time. AirBnB tries to make you think you belong to a community and that's it's so cool. sure... The idea behind AirBnB is to use the system created by CouchSurfing and to make people pay for it. smart move but that of course kills the community. So please stop lying, just accept we're all here for the money, not to meet strangers from everywhere and blablabla. For this, go to CouchSurfing and similar websites instead. AirBnB is NOT cool so let's see yourself in the mirror ! Apart from that, always remember that from both ends (owners and guests), AirBnB is very expensive !!! Up to 20% commission (+3% on the owners) when other websites are asking for nothing ! even some regular rental agencies (where the promotion and the answers to requests are all done by the rental agencies) are less expensive than this. Final con : AirBnB promotes delation. if you're trying to talk to someone out of the system, AirBnB is asking your correspondent to flag you so you can get kicked out of their website. It's understable but it also means that the AirBnB platform is not interesting enough to make you stay inside the system. Of course, getting guests outside the system is MUCH better (and many guests are asking for it so that they don't have to pay the big commission). And a funny thing, the translation of the interface in various languages is full of non-sense and mix-ups (why do I see Russian for an ad in Venice ?). """,4,System Failure -- Airbnb,,,,TRUE,,,
"Quite simply - READ, READ, READ. There is no such thing as a complete refund. Once they have your money, expect to have to fight to get it back. While it clearly states deep in the bowels of their website that ""service fees are non-refundable"", NO WHERE in the cancellation policy does it remind you of that without of course digging deep to find it.... so while you may cancel within the deadline and not incur costs with the landlord as soon as you click on the link to pay - airbnb gets paid....cost me $183.00 - so..... I will do everything I can from now on to find a place and then circumvent them....",5,Informational Failure -- Airbnb,,,,TRUE,,,
"Spent 1 week trying to find a place in Amsterdam and I must say its not easy to find due to listings NOT being updated. I spent days contacting places which on the website was available, but wasn't in ""real life"". The app. for iphone is an even worse experience. Half the info is missing! There are better websites out there when looking for apartments!",6,Informational Failure -- Airbnb,,,,TRUE,,,
"""I thought airbnb was a fine service until I forgot the password. I asked for another one which never arrived, no it wasnt in the spam folder. I try asking for it again but the website blocks my request. There seems no way of making contact without logging in. Not good at all. Brian Carling """,7,Functional Failure -- Airbnb,,,,TRUE,,,
"I had been hosting successfully for about 18 months with airbnb...i even hosted one of the founders Nathan without knowing at the time. About 3 weeks ago, I stopped being notified in my email of instant bookings. I had to go online to see my calendar and almost overlooked bookings that used to be automatically sent to me. I hadn't changed anything. I contacted airbnb and it took a couple of support people to figure out and fix, but after that I stopped getting contacted altogether. Two people contacted me privately through my own website (which refers guests to book using airbnb), to say that they wanted to stay but airbnb said my listing had been removed. No one informed me that my listing was removed. I left several support emails to airbnb last night after a former guest contacted me to say she tried to book again but my listing was removed. Then I texted with live ""chat"" and Andre F. told me he's get right on it. 8 hours later another potential guest called me to say they wanted to come this weekend but airbnb showed that my listing was removed. This time I phoned airbnb emergency support and was told the same thing. They would try to figure out why my listing wasn't showing up -- not even to them. He said he would raise it up in the level of importance but still, I have not heard back from them and my site is not showing up. If they removed it, they should tell me first, and tell me why? I have had over 100 positive reviews and often tell potential guests who find me through other sources to please use airbnb to book, but now I'll reconsider. This is my business, and I'm angry that they have not helped me with this issue.",8,Functional Failure -- Airbnb,Informational Failure -- Airbnb,,,TRUE,TRUE,,
"""I submitted a booking and my credit card details. My card was charged immediately yet the system asked for verification of my ID. I tried to do so via the credit card option but it simply would not accept the amount charged. I then verified via Facebook and yet it still would not accept my booking. I then tried via mobile phone and still not verified. I tried to contact the service for assistance only to be asked for another verification, this one a scan of government provided ID! They had already charged my card (hundreds of dollars), had a lot of my personal data so I did not feel comfortable supplying that information (I also do not have access to a scanner at short notice). I asked for another solution all to no avail and eventually asked for the booking to be cancelled and my card to be reimbursed. I then received an automated message saying my verification had expired (it had not) and that my funds would be reimbursed in up to 7 business days. The challenges of banking processes aside, this is an extraordinary response. The booking is still in the system, my account is still unverified and my credit card is still down hundreds of dollars. In response to emails and complaints via their system, all AirBnB has managed so far is auto-generated emails. Deeply disappointing. """,9,System Failure -- Airbnb,,,,TRUE,,,
"""Had to cancel my flight. Cancelled prepaid airbnb reservation 48 hours in advance. Cannot get a refund at all Dear xxxxx We have canceled reservation xxxxxxx starting on 2013-02-08 with xxxxx as you requested. In accordance with the host's cancellation policy, no refund can be given for this cancellation. To view your receipt, please click xxxxx Thanks, The Airbnb Team """,10,System Failure -- Airbnb,,,,TRUE,,,
"I rented a 3 month listing in Brooklyn , NY Issues started immediately and AIRBnB was apologetic of the issues caused by their host. Thru have no idea whom you are renting from. They are a middleman who collects a fee and that's all they care about. I tell everyone I know to avoid using AIRBnB. Bedbugs Scabies were 2 major issues I dealt with, there were many more.",11,Physical Environment -- Hosts,,,,FALSE,,,
"I did a reservation for 14 nights in NY. It is a large amount of money! But the renter decided to increase the price and airbnb, then canceled, my reservation. Simply! I became very angry with airbnb. They didn't mantain their part of the agreement! If we, customers, do this, we are penalized not receiveing the money back. And then? They just cancel (giving your money back, yes), but they not assure the agreement did before! How to trust in a company that do this with their customers?",12,System Failure -- Airbnb,,,,TRUE,,,
